Bait	Bait Mutation Status and/or Drug Condition	Prey	AvePSM	Z	WD	Entropy	Prey Gene Name	
BRCA1	c61g_eto	Q86VI3	6.333333333	2.824843046	1.624484025	1.569974075	IQGAP3	
BRCA1	c61g_eto	P50416	6.333333333	1.927728405	1.600611855	1.581411577	CPT1A	
BRCA1	c61g_eto	Q9UBB9	6	3.428009354	2.597417108	1.584962501	TFIP11	
BRCA1	c61g_eto	Q9UGP4	5.666666667	3.016022763	1.606734908	1.580419993	LIMD1	
BRCA1	c61g_eto	Q9BZF1	5	5.174929689	2.101441257	1.567955436	OSBPL8	
BRCA1	c61g_eto	Q9H4L5	4.666666667	1.871036137	1.533360475	1.578392733	OSBPL3	
BRCA1	c61g_eto	Q9H2M9	4.666666667	2.02871248	1.501005627	1.537855236	RAB3GAP2	
BRCA1	c61g_eto	Q96RU2	4.333333333	6.398195123	12.27384668	1.577759502	USP28	
BRCA1	c61g_eto	O94915	4.333333333	1.969875411	2.687451505	1.534326469	FRYL	
BRCA1	c61g_eto	Q06190	4	2.901876633	5.834072266	1.512346202	PPP2R3A	
BRCA1	c61g_eto	P49366	4	2.762408779	4.598622914	1.49946672	DHPS	
BRCA1	c61g_eto	O15084	4	3.676197394	3.163391067	1.584962501	ANKRD28	
BRCA1	c61g_eto	Q92922	4	3.982532148	2.844810988	1.559120237	SMARCC1	
BRCA1	c61g_eto	Q15042	4	3.18906437	2.493156628	1.49946672	RAB3GAP1	
BRCA1	c61g_eto	O15294	4	5.683413262	1.929576908	1.369745225	OGT	
BRCA1	c61g_eto	A6NHR9	4	2.686566625	1.806241582	1.478534948	SMCHD1	
BRCA1	c61g_eto	Q96RT1	3.666666667	3.115324006	5.934429179	1.574627401	ERBB2IP	
BRCA1	c61g_eto	Q08378	3.666666667	2.244815748	5.528704718	1.574627401	GOLGA3	
BRCA1	c61g_eto	Q6Y7W6	3.666666667	1.926239578	3.231378093	1.574627401	GIGYF2	
BRCA1	c61g_eto	Q9Y3T9	3.666666667	3.44294	2.081400534	1.510002757	NOC2L	
BRCA1	c61g_eto	P49023	3.666666667	2.17947287	2.052348488	1.574627401	PXN	
BRCA1	c61g_eto	O95239	3.666666667	3.150340288	1.942981527	1.574627401	KIF4A	
BRCA1	c61g_eto	Q9UJZ1	3.666666667	3.066911923	1.902423318	1.546631615	STOML2	
BRCA1	c61g_eto	P47755	3.666666667	1.872934147	1.660910299	1.459330886	CAPZA2	
BRCA1	c61g_eto	O75116	3.666666667	3.013619237	1.56347942	1.510002757	ROCK2	
BRCA1	c61g_eto	P51649	3.333333333	2.213037101	5.536501801	1.533396631	ALDH5A1	
BRCA1	c61g_eto	Q2M389	3.333333333	3.220991931	4.135572519	1.502855774	KIAA1033	
BRCA1	c61g_eto	O75822	3.333333333	3.090538592	2.685505699	1.573355385	EIF3J	
BRCA1	c61g_eto	Q13042	3.333333333	1.831145431	2.660176992	1.502855774	CDC16	
BRCA1	c61g_eto	Q1KMD3	3.333333333	2.049338949	2.192698686	1.573355385	HNRNPUL2	
BRCA1	c61g_eto	Q13330	3.333333333	1.893395468	1.866869934	1.533396631	MTA1	
BRCA1	c61g_eto	Q9Y282	3.333333333	3.588041462	1.562736452	1.573355385	ERGIC3	
BRCA1	c61g_eto	Q96JJ3	3	5.227711632	13.54451669	1.584962501	ELMO2	
BRCA1	c61g_eto	Q09161	3	3.692497294	2.399936328	1.541007871	NCBP1	
BRCA1	c61g_eto	Q8TAQ2	3	2.962345939	2.04219235	1.541007871	SMARCC2	
BRCA1	c61g_eto	O60488	3	2.883436472	1.825649362	1.399581231	ACSL4	
BRCA1	c61g_eto	Q8NFQ8	3	2.823977341	1.799007356	1.541007871	TOR1AIP2	
BRCA1	c61g_eto	P78318	3	2.536785914	1.794571937	1.541007871	IGBP1	
BRCA1	c61g_eto	P49748	3	1.647754593	1.550703341	1.541007871	ACADVL	
BRCA1	c61g_eto	Q96FV9	2.666666667	3.650625102	11.45761247	1.446554269	THOC1	
BRCA1	c61g_eto	Q9NZJ5	2.666666667	8.214975767	6.002479207	1.446554269	EIF2AK3	
BRCA1	c61g_eto	Q9BSJ2	2.666666667	3.804811886	3.617113697	1.566367267	TUBGCP2	
BRCA1	c61g_eto	Q63HN8	2.666666667	2.581935395	3.537180908	1.566367267	RNF213	
BRCA1	c61g_eto	Q5SW79	2.666666667	2.74186148	2.620959458	1.517528789	CEP170	
BRCA1	c61g_eto	Q9UKV8	2.666666667	3.049481019	2.096353695	1.517528789	EIF2C2	
BRCA1	c61g_eto	P82650	2.666666667	1.839565767	2.046089494	1.566367267	MRPS22	
BRCA1	c61g_eto	P49589	2.666666667	2.707656214	1.893208613	1.566367267	CARS	
BRCA1	c61g_eto	Q6P1J9	2.666666667	2.494006834	1.619004135	1.517528789	CDC73	
BRCA1	c61g_eto	Q02338	2.666666667	3.491053392	1.517838499	1.517528789	BDH1	
BRCA1	c61g_eto	Q13459	2.333333333	6.409544632	34.29192677	1.483355755	MYO9B	
BRCA1	c61g_eto	Q9NYK5	2.333333333	3.834549535	24.72731694	1.56320209	MRPL39	
BRCA1	c61g_eto	O43237	2.333333333	2.145374634	6.465035842	1.483355755	DYNC1LI2	
BRCA1	c61g_eto	Q96EE3	2.333333333	4.325912595	6.024469246	1.56320209	SEH1L	
BRCA1	c61g_eto	Q9BZK7	2.333333333	3.100149751	4.741825136	1.56320209	TBL1XR1	
BRCA1	c61g_eto	O15013	2.333333333	3.596708117	4.645855417	1.483355755	ARHGEF10	
BRCA1	c61g_eto	Q9UPN7	2.333333333	3.861500742	4.299285945	1.428412468	PPP6R1	
BRCA1	c61g_eto	P51398	2.333333333	1.87131691	4.111250432	1.428412468	DAP3	
BRCA1	c61g_eto	O76071	2.333333333	4.039187556	3.43108314	1.428412468	CIAO1	
BRCA1	c61g_eto	P30530	2.333333333	2.529523941	3.392822179	1.428412468	AXL	
BRCA1	c61g_eto	O75962	2.333333333	3.080199197	3.186545099	1.56320209	TRIO	
BRCA1	c61g_eto	Q9Y333	2.333333333	2.117232259	2.170820028	1.56320209	LSM2	
BRCA1	c61g_eto	Q9UPW6	2.333333333	2.035660138	2.117324053	1.56320209	SATB2	
BRCA1	c61g_eto	P49790	2.333333333	2.293129041	1.770934498	1.483355755	NUP153	
BRCA1	c61g_eto	P50552	2.333333333	3.143876184	1.572178221	1.428412468	VASP	
BRCA1	c61g_eto	Q9UMZ2	2.333333333	1.629156911	1.533320544	1.56320209	SYNRG	
BRCA1	c61g_eto	Q9UJX5	2	3.058934302	48.67120083	1.493709546	ANAPC4	
BRCA1	c61g_eto	Q96A65	2	2.659187206	10.97049983	1.493709546	EXOC4	
BRCA1	c61g_eto	Q9UL42	2	2.951011473	8.461524223	1.493709546	PNMA2	
BRCA1	c61g_eto	P43246	2	6.789038521	8.301040354	1	MSH2	
BRCA1	c61g_eto	O43264	2	4.178955959	5.866022336	1.493709546	ZW10	
BRCA1	c61g_eto	Q9HD33	2	1.571673258	5.504064475	1.584962501	MRPL47	
BRCA1	c61g_eto	Q02809	2	2.978144203	4.959970295	1.493709546	PLOD1	
BRCA1	c61g_eto	Q96HE7	2	4.692683304	4.618981301	1	ERO1L	
BRCA1	c61g_eto	O00461	2	3.397830072	4.05349329	1.493709546	GOLIM4	
BRCA1	c61g_eto	Q2NKX8	2	2.719248114	3.554053219	1.339664264	ERCC6L	
BRCA1	c61g_eto	O95817	2	7.835819324	3.462868282	0.881290899	BAG3	
BRCA1	c61g_eto	P12273	2	2.387194159	3.155565908	1.584962501	PIP	
BRCA1	c61g_eto	Q8N954	2	2.671284818	3.112374942	1.584962501	CCDC75	
BRCA1	c61g_eto	O60573	2	3.153502883	3.079508834	1.493709546	EIF4E2	
BRCA1	c61g_eto	Q13443	2	3.153502883	2.880870401	1.493709546	ADAM9	
BRCA1	c61g_eto	Q9Y3A2	2	2.875327416	2.372658	1.493709546	UTP11L	
BRCA1	c61g_eto	O95721	2	2.482767355	2.28929143	1.584962501	SNAP29	
BRCA1	c61g_eto	O00505	2	3.19260163	1.872675822	1.584962501	KPNA3	
BRCA1	c61g_eto	O00267	2	1.501023473	1.654515313	1.493709546	SUPT5H	
BRCA1	c61g_eto	Q9C0E8	2	3.19260163	1.527584479	1	LNP	
BRCA1	c61g_eto	P23526	2	2.228944684	1.513592966	1.493709546	AHCY	
BRCA1	i26a	P38398	68.33333333	Inf	NA	1.584005866	BRCA1	
BRCA1	i26a	Q9NYU2	5.666666667	1.784772932	1.862883225	1.580419993	UGGT1	
BRCA1	i26a	Q99728	4.333333333	Inf	NA	1.443157985	BARD1	
BRCA1	i26a	P23258	3.333333333	2.729336138	1.933463271	1.573355385	TUBG1	
BRCA1	i26a	O94826	2.333333333	1.498582115	1.860570003	1.483355755	TOMM70A	
BRCA1	i26a	P53597	2	1.816871881	1.713902389	1.584962501	SUCLG1	
BRCA1	i26a	P21926	2	2.706812175	1.580650578	1.493709546	CD9	
BRCA1	i26a	P40692	2	2.535684848	1.564069928	1.339664264	MLH1	
BRCA1	i26a_eto	P38398	51.33333333	Inf	NA	1.584177119	BRCA1	
BRCA1	i26a_eto	P06732	8	Inf	NA	1.563185379	CKM	
BRCA1	i26a_eto	P12883	8	Inf	NA	1.556990516	MYH7	
BRCA1	i26a_eto	Q9NYU2	5.333333333	1.638632988	1.80726219	1.514829277	UGGT1	
BRCA1	i26a_eto	P06744	4.666666667	1.657137956	1.858866825	1.578392733	GPI	
BRCA1	i26a_eto	P22314	4	2.697257307	2.226742176	1.584962501	UBA1	
BRCA1	i26a_eto	P80723	3.666666667	2.922722201	3.248432411	1.574627401	BASP1	
BRCA1	i26a_eto	Q99728	3.333333333	Inf	NA	1.533396631	BARD1	
BRCA1	i26a_eto	P40121	3.333333333	1.662789888	1.524235463	1.573355385	CAPG	
BRCA1	i26a_eto	P08590	3	Inf	NA	1.584962501	MYL3	
BRCA1	i26a_eto	P13533	3	Inf	NA	1.463458299	MYH6	
BRCA1	i26a_eto	P10916	2.666666667	Inf	NA	1.566367267	MYL2	
BRCA1	i26a_eto	P36871	2.666666667	9.15262971	6.215542026	1.566367267	PGM1	
BRCA1	i26a_eto	Q6YN16	2.333333333	2.128091338	2.093327652	1.56320209	HSDL2	
BRCA1	i26a_eto	P54709	2.333333333	1.871535323	1.577110857	1.56320209	ATP1B3	
BRCA1	i26a_eto	Q9NTK5	2	3.042564959	5.619050968	1.493709546	OLA1	
BRCA1	i26a_eto	P06737	2	2.733996565	2.900535598	1.339664264	PYGL	
BRCA1	i26a_eto	Q969H8	2	3.104297217	2.397343155	1.584962501	C19orf10	
BRCA1	i26a_eto	P43304	2	2.281543043	1.959539806	1.493709546	GPD2	
BRCA1	i26a_eto	Q9ULC5	2	1.644224718	1.925722957	1.584962501	ACSL5	
BRCA1	i26a_eto	P41250	2	1.595055932	1.681073896	1.584962501	GARS	
BRCA1	i26a_eto	Q9P2R7	2	2.27154678	1.563918348	1.493709546	SUCLA2	
BRCA1	i26a_m1775r	P38398	46.33333333	Inf	NA	1.583568205	BRCA1	
BRCA1	i26a_m1775r	P40763	6	1.844209769	1.607967956	1.572923025	STAT3	
BRCA1	i26a_m1775r	O60664	4.333333333	3.514370178	2.58917143	1.577759502	PLIN3	
BRCA1	i26a_m1775r	P22314	3.333333333	2.158951178	2.0327282	1.502855774	UBA1	
BRCA1	i26a_m1775r	P53597	3	2.986638708	2.09909316	1.584962501	SUCLG1	
BRCA1	i26a_m1775r	P41250	3	2.622009751	2.058886633	1.584962501	GARS	
BRCA1	i26a_m1775r	P23258	3	2.391760352	1.834244313	1.584962501	TUBG1	
BRCA1	i26a_m1775r	O43615	2.666666667	2.392011324	2.875897447	1.446554269	TIMM44	
BRCA1	i26a_m1775r	P80723	2.333333333	1.662465839	2.591352611	1.56320209	BASP1	
BRCA1	i26a_m1775r	O94826	2.333333333	1.498582115	1.860570003	1.56320209	TOMM70A	
BRCA1	i26a_m1775r	Q9Y3T9	2.333333333	2.007745499	1.660383233	1.483355755	NOC2L	
BRCA1	i26a_m1775r	Q13098	2	4.222458806	3.62420567	1.493709546	GPS1	
BRCA1	i26a_m1775r	Q16555	2	1.765123594	2.652924482	1.493709546	DPYSL2	
BRCA1	i26a_m1775r	Q9Y3A2	2	2.875327416	2.372658	1.339664264	UTP11L	
BRCA1	i26a_m1775r	Q96T51	2	2.081323575	2.237653075	1.584962501	RUFY1	
BRCA1	i26a_m1775r	O95394	2	2.000491502	1.974230265	1.493709546	PGM3	
BRCA1	i26a_m1775r	Q9P2R7	2	2.27154678	1.563918348	1.493709546	SUCLA2	
BRCA1	i26a_m1775r	P61019	2	1.745136873	1.52651929	1.493709546	RAB2A	
BRCA1	i26a_m1775r_eto	P38398	26.33333333	Inf	NA	1.583393097	BRCA1	
BRCA1	i26a_m1775r_eto	P40763	7.333333333	2.416340853	1.777675462	1.509718776	STAT3	
BRCA1	i26a_m1775r_eto	Q9NYU2	5	1.492493044	1.749874091	1.450179109	UGGT1	
BRCA1	i26a_m1775r_eto	P50897	3.666666667	2.443596091	1.60582553	1.574627401	PPT1	
BRCA1	i26a_m1775r_eto	P49023	3.333333333	1.917490198	1.956837504	1.404826958	PXN	
BRCA1	i26a_m1775r_eto	O95394	3	3.221570731	2.417928393	1.399581231	PGM3	
BRCA1	i26a_m1775r_eto	Q02790	2.333333333	1.913657717	4.796617055	1.483355755	FKBP4	
BRCA1	i26a_m1775r_eto	P50395	2.333333333	2.833634134	1.621309787	1.56320209	GDI2	
BRCA1	i26a_m1775r_eto	O60488	2.333333333	2.104577195	1.610071398	1.483355755	ACSL4	
BRCA1	i26a_m1775r_eto	P26639	2.333333333	1.695725526	1.51855392	1.483355755	TARS	
BRCA1	i26a_m1775r_eto	P53597	2	1.816871881	1.713902389	1.493709546	SUCLG1	
BRCA1	i26a_m1775r_eto	O00267	2	1.501023473	1.654515313	1.339664264	SUPT5H	
BRCA1	iso5	P38398	37.66666667	Inf	NA	1.581466884	BRCA1	
BRCA1	iso5	Q99728	15	Inf	NA	1.582915639	BARD1	
BRCA1	iso5	Q15643	9.666666667	2.871832331	7.353384167	1.531473831	TRIP11	
BRCA1	iso5	Q5T4S7	7	1.999241835	2.270601473	1.548736037	UBR4	
BRCA1	iso5	Q9Y4B6	6	2.345847972	1.853718125	1.584962501	VPRBP	
BRCA1	iso5	Q86VI3	5.666666667	2.452423345	1.536608054	1.580419993	IQGAP3	
BRCA1	iso5	Q5SW79	4.333333333	4.761728087	3.341080856	1.577759502	CEP170	
BRCA1	iso5	O15084	4	3.676197394	3.163391067	1.559120237	ANKRD28	
BRCA1	iso5	P21399	4	3.755892296	1.953854607	1.512346202	ACO1	
BRCA1	iso5	Q6Y7W6	3.333333333	1.70159129	3.080998123	1.533396631	GIGYF2	
BRCA1	iso5	Q15007	3.333333333	1.885579599	1.991963946	1.502855774	WTAP	
BRCA1	iso5	P49023	3	1.655507526	1.856419057	1.541007871	PXN	
BRCA1	iso5	Q15042	2.666666667	1.977864165	2.035653862	1.517528789	RAB3GAP1	
BRCA1	iso5	Q9UBF2	2.5	2.539874819	1.587746276	0.979868757	COPG2	
BRCA1	iso5	P51649	2.333333333	1.410882265	4.632169743	1.56320209	ALDH5A1	
BRCA1	iso5	Q03001	2	4.721426144	8.973719527	1.339664264	DST	
BRCA1	iso5	Q2M389	2	1.744049289	3.203400699	1.584962501	KIAA1033	
BRCA1	iso5	Q86V48	2	3.36632946	3.194150665	1	LUZP1	
BRCA1	iso5	Q9UPW6	2	1.667675421	1.960261166	1.493709546	SATB2	
BRCA1	iso5	P49589	2	1.878601868	1.639566754	1.584962501	CARS	
BRCA1	iso5_eto	P38398	40.33333333	Inf	NA	1.582504041	BRCA1	
BRCA1	iso5_eto	Q99728	14.66666667	Inf	NA	1.565304907	BARD1	
BRCA1	iso5_eto	Q15643	8.333333333	2.421160814	6.827445799	1.570222911	TRIP11	
BRCA1	iso5_eto	Q5T4S7	5.666666667	1.502075876	2.042940549	1.552594267	UBR4	
BRCA1	iso5_eto	Q09161	3	3.692497294	2.399936328	1.541007871	NCBP1	
BRCA1	iso5_eto	P08237	3	3.049887458	1.590327415	1.541007871	PFKM	
BRCA1	iso5_eto	Q9UPN7	2.333333333	3.861500742	4.299285945	1.56320209	PPP6R1	
BRCA1	iso5_eto	P04732	2	4.816717116	3.493780531	1	MT1E	
BRCA1	m1775r	P38398	50	Inf	NA	1.58247004	BRCA1	
BRCA1	m1775r	Q99728	6.666666667	Inf	NA	1.543683724	BARD1	
BRCA1	m1775r	P50416	6.333333333	1.927728405	1.600611855	1.569974075	CPT1A	
BRCA1	m1775r	Q9NYU2	5.666666667	1.784772932	1.862883225	1.552594267	UGGT1	
BRCA1	m1775r	P49023	3.333333333	1.917490198	1.956837504	1.573355385	PXN	
BRCA1	m1775r	P53597	2.333333333	2.206794157	1.85122616	1.428412468	SUCLG1	
BRCA1	m1775r	P35625	2	2.535684848	2.873379935	1.584962501	TIMP3	
BRCA1	m1775r	O95394	2	2.000491502	1.974230265	1.493709546	PGM3	
BRCA1	m1775r	O00267	2	1.501023473	1.654515313	1.493709546	SUPT5H	
BRCA1	m1775r_eto	P38398	25	Inf	NA	1.568838965	BRCA1	
BRCA1	m1775r_eto	P40763	7	2.273308082	1.736803896	1.548736037	STAT3	
BRCA1	m1775r_eto	P22314	5.666666667	4.04302263	2.650353314	1.552594267	UBA1	
BRCA1	m1775r_eto	Q9NYU2	5.666666667	1.784772932	1.862883225	1.552594267	UGGT1	
BRCA1	m1775r_eto	P06744	5	1.819062039	1.924109963	1.450179109	GPI	
BRCA1	m1775r_eto	P40121	4.666666667	2.595937646	1.803499721	1.537855236	CAPG	
BRCA1	m1775r_eto	O60664	3.666666667	2.880299551	2.381691313	1.546631615	PLIN3	
BRCA1	m1775r_eto	P18206	3.666666667	2.939191305	1.553791174	1.546631615	VCL	
BRCA1	m1775r_eto	Q99728	3	Inf	NA	1.584962501	BARD1	
BRCA1	m1775r_eto	Q02790	3	2.597626634	5.438852512	1.541007871	FKBP4	
BRCA1	m1775r_eto	P78318	3	2.536785914	1.794571937	1.541007871	IGBP1	
BRCA1	m1775r_eto	P54709	3	2.57242903	1.788275622	1.541007871	ATP1B3	
BRCA1	m1775r_eto	P26639	3	2.338460202	1.721878296	1.584962501	TARS	
BRCA1	m1775r_eto	P13797	2.666666667	10.533867	12.99760334	1.446554269	PLS3	
BRCA1	m1775r_eto	P41250	2.666666667	2.279691811	1.941136933	1.566367267	GARS	
BRCA1	m1775r_eto	P23258	2.666666667	2.054184567	1.729342123	1.446554269	TUBG1	
BRCA1	m1775r_eto	O75306	2.666666667	3.030505038	1.709125571	1.446554269	NDUFS2	
BRCA1	m1775r_eto	Q96JJ7	2	3.804901654	9.808506553	1.493709546	TMX3	
BRCA1	m1775r_eto	O95747	2	3.138243879	9.56305764	1.584962501	OXSR1	
BRCA1	m1775r_eto	Q16555	2	1.765123594	2.652924482	1.584962501	DPYSL2	
BRCA1	m1775r_eto	Q9Y570	2	2.559197784	2.100657264	1.493709546	PPME1	
BRCA1	m1775r_eto	P50453	2	5.55066613	1.65456794	0.881290899	SERPINB9	
BRCA1	m1775r_eto	O00267	2	1.501023473	1.654515313	1.493709546	SUPT5H	
BRCA1	m1775r_eto	Q9P2R7	2	2.27154678	1.563918348	1.584962501	SUCLA2	
BRCA1	r71g	P38398	84.33333333	Inf	NA	1.584940168	BRCA1	
BRCA1	r71g	Q99728	15	Inf	NA	1.578678888	BARD1	
BRCA1	r71g	P40763	7.333333333	2.416340853	1.777675462	1.53334212	STAT3	
BRCA1	r71g	P41252	7.333333333	1.749504047	1.586622279	1.502985229	IARS	
BRCA1	r71g	Q9BX63	6.333333333	Inf	NA	1.569974075	BRIP1	
BRCA1	r71g	P22314	6.333333333	4.58132876	2.80192246	1.535063651	UBA1	
BRCA1	r71g	Q9NYU2	5.666666667	1.784772932	1.862883225	1.580419993	UGGT1	
BRCA1	r71g	P51149	5.666666667	2.688833551	1.58085175	1.495141049	RAB7A	
BRCA1	r71g	O60664	4.666666667	3.831405492	2.686910175	1.560251865	PLIN3	
BRCA1	r71g	P40692	4	5.552828844	2.211928905	1.559120237	MLH1	
BRCA1	r71g	Q9Y4K0	4	4.725030408	1.960213596	1.512346202	LOXL2	
BRCA1	r71g	P40121	4	2.129363767	1.669716292	1.559120237	CAPG	
BRCA1	r71g	Q13423	4	1.5534631	1.510000979	1.414164757	NNT	
BRCA1	r71g	P80723	3.666666667	2.922722201	3.248432411	1.574627401	BASP1	
BRCA1	r71g	O95810	3.666666667	2.329011217	1.739125166	1.574627401	SDPR	
BRCA1	r71g	P46736	3.333333333	Inf	NA	1.533396631	BRCC3	
BRCA1	r71g	Q9NXR7	3.333333333	6.708238392	1990.332359	1.573355385	BRE	
BRCA1	r71g	Q96T51	3.333333333	3.868030571	2.888797698	1.533396631	RUFY1	
BRCA1	r71g	P49023	3.333333333	1.917490198	1.956837504	1.404826958	PXN	
BRCA1	r71g	Q16881	3.333333333	2.262669915	1.528518297	1.533396631	TXNRD1	
BRCA1	r71g	Q13620	3	6.254040271	5.387727019	1.584962501	CUL4B	
BRCA1	r71g	Q5SW79	3	3.145834801	2.779947309	1.541007871	CEP170	
BRCA1	r71g	O00267	3	2.553980238	2.026359145	1.541007871	SUPT5H	
BRCA1	r71g	Q96RL1	2.666666667	Inf	NA	1.446554269	UIMC1	
BRCA1	r71g	Q9NWV8	2.666666667	8.214975767	10.6058636	1.446554269	BABAM1	
BRCA1	r71g	Q16555	2.666666667	2.522756553	3.063333327	1.517528789	DPYSL2	
BRCA1	r71g	P23258	2.666666667	2.054184567	1.729342123	1.566367267	TUBG1	
BRCA1	r71g	Q00341	2.333333333	5.561983071	13.91710527	1.56320209	HDLBP	
BRCA1	r71g	Q9NZ08	2.333333333	4.769495358	5.203873807	1.428412468	ERAP1	
BRCA1	r71g	P30530	2.333333333	2.529523941	3.392822179	1.483355755	AXL	
BRCA1	r71g	O43615	2.333333333	2.032827515	2.690155732	1.428412468	TIMM44	
BRCA1	r71g	Q9Y570	2.333333333	3.079900364	2.26896917	1.56320209	PPME1	
BRCA1	r71g	O94826	2.333333333	1.498582115	1.860570003	1.56320209	TOMM70A	
BRCA1	r71g	A1L0T0	2.333333333	2.467912487	1.816550628	1.56320209	ILVBL	
BRCA1	r71g	P49790	2.333333333	2.293129041	1.770934498	1.483355755	NUP153	
BRCA1	r71g	P50395	2.333333333	2.833634134	1.621309787	1.56320209	GDI2	
BRCA1	r71g	O95433	2.333333333	2.26666986	1.558663197	1.56320209	AHSA1	
BRCA1	r71g	Q9NTK5	2	3.042564959	5.619050968	1.493709546	OLA1	
BRCA1	r71g	Q8TC12	2	3.804901654	5.05469869	1	RDH11	
BRCA1	r71g	Q9UI12	2	6.789038521	4.611689086	1	ATP6V1H	
BRCA1	r71g	P38117	2	4.547114179	4.423857811	1.584962501	ETFB	
BRCA1	r71g	Q969H8	2	3.104297217	2.397343155	1.584962501	C19orf10	
BRCA1	r71g	P23919	2	2.978144203	1.959797084	1.493709546	DTYMK	
BRCA1	r71g	Q13190	2	3.652674542	1.798958802	1.22857638	STX5	
BRCA1	r71g	P41250	2	1.595055932	1.681073896	1.493709546	GARS	
BRCA1	r71g	Q9P2R7	2	2.27154678	1.563918348	1.493709546	SUCLA2	
BRCA1	r71g	P61019	2	1.745136873	1.52651929	1.584962501	RAB2A	
BRCA1	r71g_eto	P38398	76.66666667	Inf	NA	1.578055026	BRCA1	
BRCA1	r71g_eto	Q99728	18.33333333	Inf	NA	1.571801067	BARD1	
BRCA1	r71g_eto	Q9BX63	7.666666667	Inf	NA	1.582420764	BRIP1	
BRCA1	r71g_eto	Q9NYU2	7.666666667	2.661612595	2.166831245	1.553283279	UGGT1	
BRCA1	r71g_eto	P40763	7	2.273308082	1.736803896	1.584962501	STAT3	
BRCA1	r71g_eto	P40692	4.666666667	6.55854351	2.38915628	1.560251865	MLH1	
BRCA1	r71g_eto	P22314	4	2.697257307	2.226742176	1.49946672	UBA1	
BRCA1	r71g_eto	P30086	3.666666667	2.61905899	1.617034649	1.574627401	PEBP1	
BRCA1	r71g_eto	P13489	3.666666667	2.857819706	1.575129766	1.574627401	RNH1	
BRCA1	r71g_eto	P54709	3.333333333	2.922875884	1.885008017	1.573355385	ATP1B3	
BRCA1	r71g_eto	Q9NQW6	3.333333333	3.03671034	1.837322325	1.404826958	ANLN	
BRCA1	r71g_eto	P49748	3.333333333	1.911171143	1.634584845	1.407618614	ACADVL	
BRCA1	r71g_eto	Q16881	3.333333333	2.262669915	1.528518297	1.573355385	TXNRD1	
BRCA1	r71g_eto	O94826	3	2.087982612	2.109688082	1.541007871	TOMM70A	
BRCA1	r71g_eto	P01033	2.666666667	2.551513036	4.194500595	1.566367267	TIMP1	
BRCA1	r71g_eto	Q16555	2.666666667	2.522756553	3.063333327	1.566367267	DPYSL2	
BRCA1	r71g_eto	P78344	2.666666667	3.73078175	2.851944659	1.566367267	EIF4G2	
BRCA1	r71g_eto	P80723	2.666666667	1.977529929	2.770272468	1.360388078	BASP1	
BRCA1	r71g_eto	O95394	2.666666667	2.814544321	2.27964475	1.446554269	PGM3	
BRCA1	r71g_eto	P43304	2.666666667	3.22217921	2.262681669	1.566367267	GPD2	
BRCA1	r71g_eto	O60664	2.666666667	1.92919361	2.031113176	1.566367267	PLIN3	
BRCA1	r71g_eto	P78318	2.666666667	2.185078133	1.691938648	1.566367267	IGBP1	
BRCA1	r71g_eto	P42892	2.333333333	4.498042653	4.576349751	1.56320209	ECE1	
BRCA1	r71g_eto	P06737	2.333333333	3.269404225	3.132936516	1.483355755	PYGL	
BRCA1	r71g_eto	Q9Y263	2.333333333	2.219717309	2.131383252	1.428412468	PLAA	
BRCA1	r71g_eto	P41250	2.333333333	1.937373871	1.815767336	1.56320209	GARS	
BRCA1	r71g_eto	P23258	2.333333333	1.716608781	1.617651432	1.428412468	TUBG1	
BRCA1	r71g_eto	P26639	2.333333333	1.695725526	1.51855392	1.56320209	TARS	
BRCA1	r71g_eto	Q02790	2	1.571673258	4.44080448	1.493709546	FKBP4	
BRCA1	r71g_eto	Q8IUR0	2	4.222458806	4.211253415	1.493709546	TRAPPC5	
BRCA1	r71g_eto	Q9P2J5	2	2.070659734	2.348262577	1.584962501	LARS	
BRCA1	r71g_eto	Q6YN16	2	1.738907319	1.938044815	1.493709546	HSDL2	
BRCA1	r71g_eto	Q9ULC5	2	1.644224718	1.925722957	1.493709546	ACSL5	
BRCA1	r71g_eto	Q8TAQ2	2	1.821114307	1.667443071	1.493709546	SMARCC2	
BRCA1	r71g_eto	Q9P2R7	2	2.27154678	1.563918348	1.493709546	SUCLA2	
BRCA1	r71g_eto	P50395	2	2.343998824	1.501041189	1.493709546	GDI2	
BRCA1	s1655f	P38398	59.66666667	Inf	NA	1.581403935	BRCA1	
BRCA1	s1655f	Q99728	9.333333333	Inf	NA	1.573103505	BARD1	
BRCA1	s1655f	Q9NYU2	6.333333333	2.077052819	1.969418313	1.581411577	UGGT1	
BRCA1	s1655f	P50416	5.666666667	1.636867297	1.514027242	1.580419993	CPT1A	
BRCA1	s1655f_eto	P38398	43.33333333	Inf	NA	1.584376043	BRCA1	
BRCA1	s1655f_eto	P50416	5.666666667	1.636867297	1.514027242	1.580419993	CPT1A	
BRCA1	s1655f_eto	Q99728	5.333333333	Inf	NA	1.564053541	BARD1	
BRCA1	s1655f_eto	Q9NYU2	5.333333333	1.638632988	1.80726219	1.564053541	UGGT1	
BRCA1	s1655f_eto	O00267	2.333333333	1.852009062	1.787080788	1.483355755	SUPT5H	
BRCA1	s1655f_eto	P78318	2.333333333	1.833370351	1.582663685	1.251629167	IGBP1	
